11 9
 -1.1     -1.1     -1.1     -1.1     -1.1     -1.1     -1.1     -1.1     -1.1    
 4.1      4.1      4.1      4.1      4.1      4.1      4.1      4.1      4.1     
 9.29     9.29     9.29     9.29     9.29     9.29     9.29     9.29     9.29    
 14.5     14.5     14.5     14.5     14.5     14.5     14.5     14.5     14.5    
 19.7     19.7     19.7     19.7     19.7     19.7     19.7     19.7     19.7    
 24.9     24.9     24.9     24.9     24.9     24.9     24.9     24.9     24.9    
 30.1     30.1     30.1     30.1     30.1     30.1     30.1     30.1     30.1    
 35.3     35.3     35.3     35.3     35.3     35.3     35.3     35.3     35.3    
 40.5     40.5     40.5     40.5     40.5     40.5     40.5     40.5     40.5    
 45.7     45.7     45.7     45.7     45.7     45.7     45.7     45.7     45.7    
 50.9     50.9     50.9     50.9     50.9     50.9     50.9     50.9     50.9    
