10 10
 20       0        0        29       28       0        0        0        0        22      
 32       0        0        0        41       37       35       0        0        0       
 34       40       43       0        43       0        0        0        35       0       
 0        0        0        0        47       47       0        0        0        31      
 39       44       46       46       47       47       0        0        0        35      
 38       0        0        0        50       0        47       45       39       34      
 0        42       0        0        45       44       44       43       38       32      
 0        34       41       0        0        42       0        0        33       0       
 0        29       31       0        0        0        0        33       29       21      
 23       0        23       25       0        25       23       21       0        0       
