11 9
 0        0        0        0        0        0        0        21       18      
 0        0        0        0        0        32       0        0        27      
 35       0        0        0        43       41       0        0        0       
 38       0        0        0        0        45       0        0        0       
 0        0        0        0        0        0        0        43       0       
 0        0        0        0        0        0        0        0        0       
 0        0        0        0        0        0        0        0        0       
 0        0        44       0        0        43       42       0        0       
 0        0        0        0        38       0        0        33       0       
 0        0        0        0        30       0        0        0        0       
 0        0        0        20       0        0        0        0        0       
