10 10
 0        0        0        0        0        0        0        0        0        0       
 0        0        38       39       0        0        0        32       30       0       
 0        0        0        0        0        44       0        0        0        29      
 0        0        0        47       0        0        0        44       0        0       
 0        0        0        0        0        0        0        46       40       0       
 0        0        0        49       0        0        0        0        0        0       
 34       0        45       46       0        0        0        0        0        0       
 31       0        0        0        0        0        0        37       0        28      
 0        0        0        0        0        0        0        0        0        0       
 0        0        0        0        26       0        0        0        0        0       
