11 9
 647      721      0        0        780      0        0        0        0       
 804      0        923      944      951      0        0        0        0       
 0        0        1.09e+03 0        0        0        0        0        0       
 0        1.22e+03 0        0        1.29e+03 0        0        0        0       
 1.22e+03 0        1.42e+03 1.46e+03 0        1.45e+03 0        0        1.18e+03
 0        1.42e+03 1.5e+03  1.54e+03 0        0        0        1.39e+03 0       
 0        0        0        0        0        0        1.42e+03 0        1.18e+03
 0        1.23e+03 0        0        0        0        0        1.21e+03 0       
 0        0        1.11e+03 0        0        1.13e+03 0        0        942     
 826      907      946      0        0        0        0        890      0       
 0        0        0        0        0        791      768      0        640     
