10 10
 0        773      824      0        0        863      843      810      743      0       
 0        939      0        0        0        0        0        0        0        797     
 0        0        0        1.19e+03 0        0        1.18e+03 1.15e+03 0        0       
 1.1e+03  1.24e+03 1.32e+03 0        0        0        1.36e+03 0        1.19e+03 0       
 0        0        0        0        0        0        1.49e+03 0        0        0       
 0        1.35e+03 1.46e+03 0        0        1.53e+03 0        0        0        0       
 0        0        0        0        0        0        0        0        0        0       
 0        0        0        1.21e+03 1.22e+03 0        1.2e+03  0        0        0       
 847      0        0        1.04e+03 1.05e+03 1.05e+03 1.03e+03 0        0        0       
 0        792      0        0        0        0        0        0        766      670     
