11 9
 0        0        25       26       0        27       24       0        0       
 0        33       0        0        0        0        31       31       0       
 0        40       0        42       0        0        38       35       31      
 0        0        46       47       0        0        45       39       34      
 0        45       0        0        48       0        45       0        0       
 41       0        0        0        51       50       49       0        35      
 40       47       46       46       47       46       0        41       0       
 35       0        0        44       43       0        0        0        31      
 30       33       0        38       0        0        35       0        0       
 0        0        0        29       0        31       30       0        19      
 21       23       22       0        19       0        0        15       0       
